id,title,authors,primary_category,categories,summary,published,doi
2312.12349,Holographic complexity: braneworld gravity versus the Lloyd bound,Sergio E. Aguilar-Gutierrez ; Ben Craps ; Juan Hernandez ; Mikhail Khramtsov ; Maria Knysh ; Ashish Shukla,hep-th,hep-th gr-qc,"We explore the complexity equals volume proposal for planar black holes in anti-de Sitter (AdS) spacetime in 2+1 dimensions, with an end of the world (ETW) brane behind the horizon. We allow for the possibility of intrinsic gravitational dynamics in the form of Jackiw-Teitelboim (JT) gravity to be localized on the brane. We compute the asymptotic rate of change of volume complexity analytically and obtain the full time dependence using numerical techniques. We find that the inclusion of JT gravity on the brane leads to interesting effects on time dependence of holographic complexity. We identify the region in parameter space (the brane location and the JT coupling) for which the rate of change of complexity violates the Lloyd bound. In an equivalent description of the model in terms of an asymptotically AdS wormhole, we connect the violation of the Lloyd bound to the violation of a suitable energy condition in the bulk that we introduce. We also compare the Lloyd bound constraints to previously derived constraints on the bulk parameters in this model that are based on bounds on entanglement growth in the dual CFT state.",2023-12-19 17:28:43+00:00,10.1007/JHEP03(2024)173
2311.04093,Krylov complexity is not a measure of distance between states or operators,Sergio E. Aguilar-Gutierrez ; Andrew Rolph,hep-th,hep-th quant-ph,"We ask whether Krylov complexity is mutually compatible with the circuit and Nielsen definitions of complexity. We show that the Krylov complexities between three states fail to satisfy the triangle inequality and so cannot be a measure of distance: there is no possible metric for which Krylov complexity is the length of the shortest path to the target state or operator. We show this explicitly in the simplest example, a single qubit, and in general.",2023-11-07 16:04:10+00:00,10.48550/2311.04093
2310.15868,Anomalous Strangeness Transport,Eugenio Megias ; Miguel A. Vazquez-Mozo,hep-th,hep-th hep-ph nucl-th,"Nondissipative transport of strangeness is studied in a chiral hadronic plasma with three flavors. In the phase in which chiral symmetry is preserved, strangeness transport is found to be driven by both an external magnetic field and fluid vorticity. As for the constitutive relations of the baryon and electromagnetic currents, they exhibit vortical terms proportional to the strangeness chemical potential. In the superfluid phase, transverse nondissipative diffusion of the baryon, electromagnetic, and strangeness charges is found, which survives in the limit of vanishing chiral imbalance and mixes in a fashion similar to standard dissipative diffusion in quark-gluon plasma.",2023-10-24 14:24:14+00:00,10.1007/JHEP01(2024)174
2312.03848,"Quantum chaos, integrability, and late times in the Krylov basis",Vijay Balasubramanian ; Javier M. Magan ; Qingyue Wu,hep-th,hep-th cond-mat.stat-mech nlin.CD quant-ph,"Quantum chaotic systems are conjectured to display a spectrum whose fine-grained features (gaps and correlations) are well described by Random Matrix Theory (RMT). We propose and develop a complementary version of this conjecture: quantum chaotic systems display a Lanczos spectrum whose local means and covariances are well described by RMT. To support this proposal, we first demonstrate its validity in examples of chaotic and integrable systems. We then show that for Haar-random initial states in RMTs the mean and covariance of the Lanczos spectrum suffices to produce the full long time behavior of general survival probabilities including the spectral form factor, as well as the spread complexity. In addition, for initial states with continuous overlap with energy eigenstates, we analytically find the long time averages of the probabilities of Krylov basis elements in terms of the mean Lanczos spectrum. This analysis suggests a notion of eigenstate complexity, the statistics of which differentiate integrable systems and classes of quantum chaos. Finally, we clarify the relation between spread complexity and the universality classes of RMT by exploring various values of the Dyson index and Poisson distributed spectra.",2023-12-06 19:02:22+00:00,10.48550/2312.03848
2305.00037,Integrability and complexity in quantum spin chains,Ben Craps ; Marine De Clerck ; Oleg Evnin ; Philip Hacker,quant-ph,quant-ph cond-mat.stat-mech hep-th math-ph math.MP nlin.SI,"There is a widespread perception that dynamical evolution of integrable systems should be simpler in a quantifiable sense than the evolution of generic systems, though demonstrating this relation between integrability and reduced complexity in practice has remained elusive. We provide a connection of this sort by constructing a specific matrix in terms of the eigenvectors of a given quantum Hamiltonian. The null eigenvalues of this matrix are in one-to-one correspondence with conserved quantities that have simple locality properties (a hallmark of integrability). The typical magnitude of the eigenvalues, on the other hand, controls an explicit bound on Nielsen's complexity of the quantum evolution operator, defined in terms of the same locality specifications. We demonstrate how this connection works in a few concrete examples of quantum spin chains that possess diverse arrays of highly structured conservation laws mandated by integrability.",2023-04-28 18:22:06+00:00,10.21468/SciPostPhys.16.2.041
2202.13924,Bounds on quantum evolution complexity via lattice cryptography,Ben Craps ; Marine De Clerck ; Oleg Evnin ; Philip Hacker ; Maxim Pavlov,quant-ph,quant-ph cs.DS hep-th math.OC physics.data-an,"We address the difference between integrable and chaotic motion in quantum theory as manifested by the complexity of the corresponding evolution operators. Complexity is understood here as the shortest geodesic distance between the time-dependent evolution operator and the origin within the group of unitaries. (An appropriate `complexity metric' must be used that takes into account the relative difficulty of performing `nonlocal' operations that act on many degrees of freedom at once.) While simply formulated and geometrically attractive, this notion of complexity is numerically intractable save for toy models with Hilbert spaces of very low dimensions. To bypass this difficulty, we trade the exact definition in terms of geodesics for an upper bound on complexity, obtained by minimizing the distance over an explicitly prescribed infinite set of curves, rather than over all possible curves. Identifying this upper bound turns out equivalent to the closest vector problem (CVP) previously studied in integer optimization theory, in particular, in relation to lattice-based cryptography. Effective approximate algorithms are hence provided by the existing mathematical considerations, and they can be utilized in our analysis of the upper bounds on quantum evolution complexity. The resulting algorithmically implemented complexity bound systematically assigns lower values to integrable than to chaotic systems, as we demonstrate by explicit numerical work for Hilbert spaces of dimensions up to ~10^4.",2022-02-28 16:20:10+00:00,10.21468/SciPostPhys.13.4.090
2202.06957,Quantum chaos and the complexity of spread of states,Vijay Balasubramanian ; Pawel Caputa ; Javier Magan ; Qingyue Wu,hep-th,hep-th cond-mat.stat-mech quant-ph,"We propose a measure of quantum state complexity defined by minimizing the spread of the wave-function over all choices of basis. Our measure is controlled by the ""survival amplitude"" for a state to remain unchanged, and can be efficiently computed in theories with discrete spectra. For continuous Hamiltonian evolution, it generalizes Krylov operator complexity to quantum states. We apply our methods to the harmonic and inverted oscillators, particles on group manifolds, the Schwarzian theory, the SYK model, and random matrix models. For time-evolved thermofield double states in chaotic systems our measure shows four regimes: a linear ""ramp"" up to a ""peak"" that is exponential in the entropy, followed by a ""slope"" down to a ""plateau"". These regimes arise in the same physics producing the slope-dip-ramp-plateau structure of the Spectral Form Factor. Specifically, the complexity slope arises from spectral rigidity, distinguishing different random matrix ensembles.",2022-02-14 19:00:00+00:00,10.1103/PhysRevD.106.046007
2107.13874,Chaos in CFT dual to rotating BTZ,Ben Craps ; Surbhi Khetrapal ; Charles Rabideau,hep-th,hep-th,"We compute out-of-time-order correlators (OTOCs) in two-dimensional holographic conformal field theories (CFTs) with different left- and right-moving temperatures. Depending on whether the CFT lives on a spatial line or circle, the dual bulk geometry is a boosted BTZ black brane or a rotating BTZ black hole. In the case when the spatial direction is non-compact, we generalise a computation of Roberts and Stanford and show that to reproduce the correct bulk answer a maximal channel contribution needs to be selected when using the identity block approximation. We use the correspondence between global conformal blocks and geodesic Witten diagrams to extend our results to CFTs on a spatial circle. In arXiv:1908.03574 it was shown that the OTOC for a rotating BTZ black hole exhibits a periodic modulation about an average exponential decay with Lyapunov exponent $2\pi/\beta$. In the extremal limit where the black hole is maximally rotating, it was shown in arXiv:2009.08518 that the OTOC exhibits an average cubic growth, on which is superposed a sawtooth pattern which has small periods of Lyapunov growth due to the non-zero temperature of left-movers in the dual CFT. Our computations explain these results from a dual CFT perspective.",2021-07-29 10:14:45+00:00,10.1007/JHEP11(2021)105
2110.14672,Quantum Computational Complexity -- From Quantum Information to Black Holes and Back,Shira Chapman ; Giuseppe Policastro,hep-th,hep-th gr-qc quant-ph,"Quantum computational complexity estimates the difficulty of constructing quantum states from elementary operations, a problem of prime importance for quantum computation. Surprisingly, this quantity can also serve to study a completely different physical problem - that of information processing inside black holes. Quantum computational complexity was suggested as a new entry in the holographic dictionary, which extends the connection between geometry and information and resolves the puzzle of why black hole interiors keep growing for a very long time. In this pedagogical review, we present the geometric approach to complexity advocated by Nielsen and show how it can be used to define complexity for generic quantum systems; in particular, we focus on Gaussian states in QFT, both pure and mixed, and on certain classes of CFT states. We then present the conjectured relation to gravitational quantities within the holographic correspondence and discuss several examples in which different versions of the conjectures have been tested. We highlight the relation between complexity, chaos and scrambling in chaotic systems. We conclude with a discussion of open problems and future directions. This article was written for the special issue of EPJ-C Frontiers in Holographic Duality.",2021-10-27 18:00:12+00:00,10.1140/epjc/s10052-022-10037-1
2207.07701,Krylov complexity from integrability to chaos,E. Rabinovici ; A. Sánchez-Garrido ; R. Shir ; J. Sonner,hep-th,hep-th cond-mat.str-el quant-ph,"We apply a notion of quantum complexity, called ""Krylov complexity"", to study the evolution of systems from integrability to chaos. For this purpose we investigate the integrable XXZ spin chain, enriched with an integrability breaking deformation that allows one to interpolate between integrable and chaotic behavior. K-complexity can act as a probe of the integrable or chaotic nature of the underlying system via its late-time saturation value that is suppressed in the integrable phase and increases as the system is driven to the chaotic phase. We furthermore ascribe the (under-)saturation of the late-time bound to the amount of disorder present in the Lanczos sequence, by mapping the complexity evolution to an auxiliary off-diagonal Anderson hopping model. We compare the late-time saturation of K-complexity in the chaotic phase with that of random matrix ensembles and find that the chaotic system indeed approaches the RMT behavior in the appropriate symmetry class. We investigate the dependence of the results on the two key ingredients of K-complexity: the dynamics of the Hamiltonian and the character of the operator whose time dependence is followed.",2022-07-15 18:51:13+00:00,10.1007/JHEP07(2022)151
