"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"TR5HTJN4","journalArticle","2024","Chagnet, Nicolas; Schalm, Koenraad","Hydrodynamics of a relativistic charged fluid in the presence of a periodically modulated chemical potential","SciPost Physics","","2542-4653","10.21468/SciPostPhys.16.1.028","https://scipost.org/10.21468/SciPostPhys.16.1.028","SciPost Journals Publication Detail SciPost Phys. 16, 028 (2024) Hydrodynamics of a relativistic charged fluid in the presence of a periodically modulated chemical potential","2024-01-24","2024-01-24 15:47:18","2024-02-18 13:40:09","2024-01-24 15:47:18","028","","1","16","","","","","","","","","","en","All rights reserved","","","","scipost.org","","4 citations (INSPIRE 2024/2/18) 3 citations w/o self (INSPIRE 2024/2/18) tex.ids= Chagnet:2023xsl arXiv: 2303.17685 [cond-mat.str-el] publisher: arXiv Citation Key: Chagnet:2023xsl","","/home/nchagnet/Zotero/storage/LZ4R3TCQ/chagnet2024.pdf","","""myPubs""; Condensed Matter - Soft Condensed Matter; Condensed Matter - Strongly Correlated Electrons; Condensed Matter - Superconductivity; High Energy Physics - Theory","⛔ No DOI found","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WZWJS5B6","journalArticle","2018","Mitrano, M.; Husain, A. A.; Vig, S.; Kogar, A.; Rak, M. S.; Rubeck, S. I.; Schmalian, J.; Uchoa, B.; Schneeloch, J.; Zhong, R.; Gu, G. D.; Abbamonte, P.","Anomalous density fluctuations in a strange metal","Proceedings of the National Academy of Sciences","","0027-8424, 1091-6490","10.1073/pnas.1721495115","http://arxiv.org/abs/1708.01929","A central mystery in high temperature superconductivity is the origin of the so-called ""strange metal,"" i.e., the anomalous conductor from which superconductivity emerges at low temperature. Measuring the dynamic charge response of the copper-oxides, $\chi''(q,\omega)$, would directly reveal the collective properties of the strange metal, but it has never been possible to measure this quantity with meV resolution. Here, we present the first measurement of $\chi''(q,\omega)$ for a cuprate, optimally doped Bi$_2$Sr$_2$CaCu$_2$O$_{8+x}$ ($T_c=91$ K), using momentum-resolved inelastic electron scattering. In the medium energy range 0.1-2 eV relevant to the strange metal, the spectra are dominated by a featureless, temperature- and momentum-independent continuum persisting to the eV energy scale. This continuum displays a simple power law form, exhibiting $q^2$ behavior at low energy and $q^2/\omega^2$ behavior at high energy. Measurements of an overdoped crystal ($T_c=50$ K) showed the emergence of a gap-like feature at low temperature, indicating deviation from power law form outside the strange metal regime. Our study suggests the strange metal exhibits a new type of charge dynamics in which excitations are local to such a degree that space and time axes are decoupled.","2018-05-22","2021-07-22 12:22:28","2024-02-18 13:42:10","2021-07-22 12:22:28","5392-5396","","21","115","","Proc Natl Acad Sci USA","","","","","","","","","","","","","arXiv.org","","78 citations (CrossRef 2024/2/18) tex.ids= mitrano2018a, mitranoAnomalousDensityFluctuations2018 arXiv: 1708.01929 tex.copyright: © 2018 . http://www.pnas.org/site/aboutpnas/licenses.xhtmlPublished under the PNAS license. tex.eprint: 1708.01929 PMID: 29735712 publisher: National Academy of Sciences section: Physical Sciences","","/home/nchagnet/Zotero/storage/BQRQERM8/mitrano2018.pdf","","cuprates; electron energy-loss spectroscopy; non-Fermi liquid; quantum criticality; strange metal","⛔ No INSPIRE recid found; Condensed Matter - Materials Science; Condensed Matter - Strongly Correlated Electrons; Condensed Matter - Superconductivity","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IBLMZCDH","journalArticle","2021","Zaanen, Jan","Lectures on quantum supreme matter","","","","10.48550/arXiv.2110.00961","http://arxiv.org/abs/2110.00961","These notes are based on lectures serving the advanced graduate education of the Delta Institute of Theoretical Physics in the Netherlands in autumn 2021. The goal is to explain in a language that can be understood by non-specialists very recent advances in quantum information and especially string theory suggesting the existence of entirely new forms of matter. These are metallic states characterized by an extremely dense many body entanglement, requiring the supremacy of the quantum computer to be completely enumerated. The holographic duality discovered in string theory appears to be a mathematical machinery capable of computing observable properties of such matter, suggesting the presence of universal general principles governing its phenomenology. The case is developing that these principles may well apply to the highly mysterious physical properties observed in the high temperature superconductors and other strongly interacting electron systems of condensed matter physics.","2021-12-26","2022-06-24 16:43:31","2023-10-09 07:41:32","2022-06-24 16:43:31","","","","","","arXiv:2110.00961 [cond-mat.str-el]","","","","","","","","","","","INSPIRE","1938342","arXiv.org","","18 citations (INSPIRE 2023/8/4) 14 citations w/o self (INSPIRE 2023/8/4) Citation Key: Zaanen:2021llz tex.ids= zaanenLecturesQuantumSupreme2021a DOI: 10.48550/arXiv.2110.00961 arXiv:2110.00961 [cond-mat.str-el]","","/home/nchagnet/Zotero/storage/QWNRXKM3/zaanen2021.pdf","","Condensed Matter - Statistical Mechanics; Condensed Matter - Strongly Correlated Electrons; Condensed Matter - Superconductivity; High Energy Physics - Theory; Quantum Physics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9P9SMS55","journalArticle","2016","D'Alessio, Luca; Kafri, Yariv; Polkovnikov, Anatoli; Rigol, Marcos","From quantum chaos and eigenstate thermalization to statistical mechanics and thermodynamics","Advances in Physics","","0001-8732","10.1080/00018732.2016.1198134","https://doi.org/10.1080/00018732.2016.1198134","This review gives a pedagogical introduction to the eigenstate thermalization hypothesis (ETH), its basis, and its implications to statistical mechanics and thermodynamics. In the first part, ETH is introduced as a natural extension of ideas from quantum chaos and random matrix theory (RMT). To this end, we present a brief overview of classical and quantum chaos, as well as RMT and some of its most important predictions. The latter include the statistics of energy levels, eigenstate components, and matrix elements of observables. Building on these, we introduce the ETH and show that it allows one to describe thermalization in isolated chaotic systems without invoking the notion of an external bath. We examine numerical evidence of eigenstate thermalization from studies of many-body lattice systems. We also introduce the concept of a quench as a means of taking isolated systems out of equilibrium, and discuss results of numerical experiments on quantum quenches. The second part of the review explores the implications of quantum chaos and ETH to thermodynamics. Basic thermodynamic relations are derived, including the second law of thermodynamics, the fundamental thermodynamic relation, fluctuation theorems, and the Einstein and Onsager relations. In particular, it is shown that quantum chaos allows one to prove these relations for individual Hamiltonian eigenstates and thus extend them to arbitrary stationary statistical ensembles. We then show how one can use these relations to obtain nontrivial universal energy distributions in continuously driven systems. At the end of the review, we briefly discuss the relaxation dynamics and description after relaxation of integrable quantum systems, for which ETH is violated. We introduce the concept of the generalized Gibbs ensemble, and discuss its connection with ideas of prethermalization in weakly interacting systems.","2016-07-31","2022-10-27 08:37:05","2024-02-18 13:42:22","2022-10-27 08:37:04","239-362","","3","65","","Adv. Phys.","","","","","","","","","","","INSPIRE","1509719","Taylor and Francis+NEJM","","1242 citations (INSPIRE 2024/2/18) 1198 citations w/o self (INSPIRE 2024/2/18) Citation Key: DAlessio:2015qtq arXiv:1509.06411 [cond-mat.stat-mech] tex.eprint: 1509.06411 publisher: Taylor & Francis","","/home/nchagnet/Zotero/storage/S5IE4DY5/DAlessio2015qtq.pdf","","03.65.-w; 05.30.-d; 05.45.Mt; 05.70.-a; eigenstate thermalization; generalized Gibbs ensemble; quantum chaos; quantum quench; quantum statistical mechanics; quantum thermodynamics; random matrix theory","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A38HF3W5","journalArticle","2010","Headrick, Matthew; Kitchen, Sam; Wiseman, Toby","A new approach to static numerical relativity and its application to Kaluza–Klein black holes","Classical and Quantum Gravity","","0264-9381, 1361-6382","10.1088/0264-9381/27/3/035002","https://iopscience.iop.org/article/10.1088/0264-9381/27/3/035002","We propose a general framework for solving the Einstein equation for static and Euclidean metrics. First, we address the issue of gauge-fixing by borrowing from the Ricci-flow literature the so-called DeTurck trick, which renders the Einstein equation strictly elliptic and generalizes the usual harmonic-coordinate gauge. We then study two algorithms, Ricci-flow and Newton's method, for solving the resulting Einstein-DeTurck equation. We illustrate the use of these methods by studying localized black holes and non-uniform black strings in five-dimensional Kaluza-Klein theory, improving on previous calculations of their thermodynamic and geometric properties. We study spectra of various operators for these solutions, in particular finding negative modes of the Lichnerowicz operator. We classify the localized solutions into two branches that meet at a minimum temperature. We find good evidence for a merger between the localized and non-uniform solutions. We also find a narrow window of localized solutions that possess negative modes yet appear to have positive specific heat.","2010","2022-10-27 08:45:43","2024-02-18 13:42:44","2022-10-27 08:45:42","035002","","3","27","","Class. Quant. Grav.","","","","","","","","","","","INSPIRE","820051","DOI.org (Crossref)","","201 citations (INSPIRE 2024/2/18) 185 citations w/o self (INSPIRE 2024/2/18) Citation Key: Headrick:2009pv tex.ids= headrickNewApproachStatic2010 arXiv:0905.1822 [gr-qc] tex.eprint: 0905.1822","","/home/nchagnet/Zotero/storage/RDDUSD6Q/Headrick2009pv.pdf","","General Relativity and Quantum Cosmology; High Energy Physics - Theory","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WVHM2MZW","journalArticle","2023","Fritz, Lars; Scaffidi, Thomas","Hydrodynamic electronic transport","","","","","http://arxiv.org/abs/2303.14205","The ``flow'' of electric currents and heat in standard metals is diffusive with electronic motion randomized by impurities. However, for ultraclean metals, electrons can flow like water with their flow being described by the equations of hydrodynamics. While theoretically postulated, this situation was highly elusive for decades. In the last decade, several experimental groups have found strong indications for this type of flow, especially in graphene-based devices. In this review, we give an overview of some of the recent key developments, both on the theoretical and experimental side.","2023-03-24","2023-03-28 08:12:44","2023-10-09 07:40:17","2023-03-28 08:12:44","","","","","","","","","","","","","","","","","","","arXiv.org","","tex.ids= fritzHydrodynamicElectronicTransport2023 arXiv: 2303.14205 [cond-mat] DOI: 10.48550/arXiv.2303.14205 issue: arXiv:2303.14205","","/home/nchagnet/Zotero/storage/KYVKV2RR/fritz2023.pdf","","Condensed Matter - Materials Science; Condensed Matter - Quantum Gases; Condensed Matter - Strongly Correlated Electrons","⛔ No INSPIRE recid found","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EXH87KVT","journalArticle","2018","Krikun, Alexander","Numerical Solution of the Boundary Value Problems for Partial Differential Equations. Crash course for holographer","","","","10.48550/arXiv.1801.01483","http://arxiv.org/abs/1801.01483","These are the notes for a series of Numerical Study group meetings, held in Lorentz institute in the fall of 2017. The aim of the notes is to provide a non-specialist with the minimal knowledge in numerical methods used in BVP for PDEs, necessary to solve the problems typically arising in applications of holography to condensed matter systems. A graduate level knowledge of Linear Algebra and theory of Differential Equations is assumed. Special attention is payed to the treatment of the boundary conditions of general form. The notes focus on the practical aspects of the implementation leaving aside the theory behind the methods in use. A few simple problems to test the acquired knowledge are included.","2018-01-04","2022-10-27 08:44:03","2024-02-18 13:42:12","2022-10-27 08:44:02","","","","","","arXiv:1801.01483 [hep-th]","","","","","","","","","","","INSPIRE","1646295","arXiv.org","","16 citations (INSPIRE 2024/2/18) 10 citations w/o self (INSPIRE 2024/2/18) Citation Key: Krikun:2018ufr tex.ids= krikunNumericalSolutionBoundary2018 arXiv:1801.01483 [hep-th]","","/home/nchagnet/Zotero/storage/8RB5GVRK/Krikun2018ufr.pdf","","High Energy Physics - Theory","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AA2WWU88","journalArticle","2012","Adam, Alexander; Kitchen, Sam; Wiseman, Toby","A numerical approach to finding general stationary vacuum black holes","Classical and Quantum Gravity","","0264-9381, 1361-6382","10.1088/0264-9381/29/16/165002","https://iopscience.iop.org/article/10.1088/0264-9381/29/16/165002","The Harmonic Einstein equation is the vacuum Einstein equation supplemented by a gauge fixing term which we take to be that of DeTurck. For static black holes analytically continued to Riemannian manifolds without boundary at the horizon this equation has previously been shown to be elliptic, and Ricci flow and Newton's method provide good numerical algorithms to solve it. Here we extend these techniques to the arbitrary cohomogeneity stationary case which must be treated in Lorentzian signature. For stationary spacetimes with globally timelike Killing vector the Harmonic Einstein equation is elliptic. In the presence of horizons and ergo-regions it is less obviously so. Motivated by the Rigidity theorem we study a class of stationary black hole spacetimes, considered previously by Harmark, general enough to include the asymptotically flat case in higher dimensions. We argue the Harmonic Einstein equation consistently truncates to this class of spacetimes giving an elliptic problem. The Killing horizons and axes of rotational symmetry are boundaries for this problem and we determine boundary conditions there. As a simple example we numerically construct 4D rotating black holes in a cavity using Anderson's boundary conditions. We demonstrate both Newton's method and Ricci flow to find these Lorentzian solutions.","2012","2022-10-27 08:45:53","2024-02-18 13:42:37","2022-10-27 08:45:52","165002","","16","29","","Class. Quant. Grav.","","","","","","","","","","","INSPIRE","902082","DOI.org (Crossref)","","68 citations (INSPIRE 2024/2/18) 60 citations w/o self (INSPIRE 2024/2/18) Citation Key: Adam:2011dn arXiv:1105.6347 [gr-qc] tex.eprint: 1105.6347 publisher: IOP Publishing","","/home/nchagnet/Zotero/storage/QM3AT8VR/Adam2011dn.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEFVF23J","journalArticle","2015","Banks, Elliot; Donos, Aristomenis; Gauntlett, Jerome P.","Thermoelectric DC conductivities and Stokes flows on black hole horizons","Journal of High Energy Physics","","1029-8479","10.1007/JHEP10(2015)103","https://doi.org/10.1007/JHEP10(2015)103","We consider a general class of electrically charged black holes of Einstein-Maxwell-scalar theory that are holographically dual to conformal field theories at finite charge density which break translation invariance explicitly. We examine the linearised perturbations about the solutions that are associated with the thermoelectric DC conductivity. We show that there is a decoupled sector at the black hole horizon which must solve generalised Stokes equations for a charged fluid. By solving these equations we can obtain the DC conductivity of the dual field theory. For Q-lattices and one-dimensional lattices we solve the fluid equations to obtain closed form expressions for the DC conductivity in terms of the solution at the black hole horizon. We also determine the leading order DC conductivity for lattices that can be expanded as a perturbative series about translationally invariant solutions.","2015-10-15","2022-10-27 08:46:08","2024-02-18 13:42:26","2022-10-27 08:46:08","103","","10","10","","JHEP","","","","","","","","en","","","INSPIRE","1380596","Springer Link","","86 citations (INSPIRE 2024/2/18) 67 citations w/o self (INSPIRE 2024/2/18) Citation Key: Banks:2015wha arXiv:1507.00234 [hep-th] tex.eprint: 1507.00234","","/home/nchagnet/Zotero/storage/Y7R9PMVG/Banks2015wha.pdf","","","AdS-CFT Correspondence; Black Holes in String Theory; Gauge-gravity correspondence; Holography and condensed matter physics (AdS/CMT)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QT8CQGD2","journalArticle","2017","Donos, Aristomenis; Gauntlett, Jerome P.; Griffin, Tom; Lohitsiri, Nakarin; Melgar, Luis","Holographic DC conductivity and Onsager relations","Journal of High Energy Physics","","1029-8479","10.1007/JHEP07(2017)006","https://doi.org/10.1007/JHEP07(2017)006","Within holography the DC conductivity can be obtained by solving a system of Stokes equations for an auxiliary fluid living on the black hole horizon. We show that these equations can be derived from a novel variational principle involving a functional that depends on the fluid variables of interest as well as the time reversed quantities. This leads to simple derivation of the Onsager relations for the conductivity. We also obtain the relevant Stokes equations for bulk theories of gravity in four dimensions including a $\vartheta F\wedge F$ term in the Lagrangian, where $\vartheta$ is a function of dynamical scalar fields. We discuss various realisations of the anomalous Hall conductivity that this term induces and also solve the Stokes equations for holographic lattices which break translations in one spatial dimension.","2017-07-03","2022-10-27 08:46:22","2024-02-18 13:42:16","2022-10-27 08:46:21","006","","7","07","","JHEP","","","","","","","","en","","","INSPIRE","1592003","Springer Link","","28 citations (INSPIRE 2024/2/18) 26 citations w/o self (INSPIRE 2024/2/18) Citation Key: Donos:2017mhp arXiv:1704.05141 [hep-th] tex.eprint: 1704.05141","","/home/nchagnet/Zotero/storage/6NZLF8SM/Donos2017mhp.pdf; /home/nchagnet/Zotero/storage/9WEHIICA/Donos2017mhp.pdf","","AdS-CFT Correspondence; Black Holes; Holography and condensed matter physics (AdS/CMT)","High Energy Physics - Theory","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
