"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"HVQXUQSV","preprint","2024","Seara, Daniel S.; Colen, Jonathan; Fruchart, Michel; Avni, Yael; Martin, David; Vitelli, Vincenzo","Sociohydrodynamics: data-driven modelling of social behavior","","","","","http://arxiv.org/abs/2312.17627","Living systems display complex behaviors driven not only by physical forces, but also decision-making guided by information processing and molded by cultural and/or biological evolution. Hydrodynamic theories hold promise for simplified, universal descriptions of these collective behaviors. However, incorporating the individual preferences of decision-making organisms into a hydrodynamic theory is an open problem. Here, we develop a data-driven pipeline that links micromotives to macrobehavior by augmenting hydrodynamics with utility functions that describe individual preferences in microeconomics. We show how to systematically validate the hypotheses underlying this construction from data using statistical tools based on neural networks. We illustrate this pipeline on the case study of human residential dynamics in the United States, for which census and sociological data is available, and show how trends in sociological surveys can be related to trends seen in racial segregation. In particular, we highlight that a history-dependence in the segregation-integration transition can arise even when agents have no memory. Beyond residential segregation, our work paves the way for systematic investigations of social-driven motility in real space from micro-organisms to humans, as well as fitness-mediated motion in more abstract genomic spaces.","2024-01-28","2024-01-31 13:27:57","2024-01-31 13:28:10","2024-01-31 13:27:57","","","","","","","Sociohydrodynamics","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2312.17627 [cond-mat, physics:nlin, physics:physics]","","/home/nchagnet/Zotero/storage/89FFTAPK/seara2024.pdf","","⭐️","⛔ No INSPIRE recid found; Condensed Matter - Soft Condensed Matter; Condensed Matter - Statistical Mechanics; Nonlinear Sciences - Adaptation and Self-Organizing Systems; Nonlinear Sciences - Pattern Formation and Solitons; Physics - Physics and Society","","","","","","","","","","","","","","","","","","","arXiv:2312.17627","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W8AM29D8","journalArticle","2023","Aguilar-Gutierrez, Sergio E.; Craps, Ben; Hernandez, Juan; Khramtsov, Mikhail; Knysh, Maria; Shukla, Ashish","Holographic complexity: braneworld gravity versus the Lloyd bound","","","","","http://arxiv.org/abs/2312.12349","We explore the complexity equals volume proposal for planar black holes in anti-de Sitter (AdS) spacetime in 2+1 dimensions, with an end of the world (ETW) brane behind the horizon. We allow for the possibility of intrinsic gravitational dynamics in the form of Jackiw-Teitelboim (JT) gravity to be localized on the brane. We compute the asymptotic rate of change of volume complexity analytically and obtain the full time dependence using numerical techniques. We find that the inclusion of JT gravity on the brane leads to interesting effects on time dependence of holographic complexity. We identify the region in parameter space (the brane location and the JT coupling) for which the rate of change of complexity violates the Lloyd bound. In an equivalent description of the model in terms of an asymptotically AdS wormhole, we connect the violation of the Lloyd bound to the violation of a suitable energy condition in the bulk that we introduce. We also compare the Lloyd bound constraints to previously derived constraints on the bulk parameters in this model that are based on bounds on entanglement growth in the dual CFT state.","2023-12-19","2024-01-29 08:44:39","2024-01-31 12:01:43","2024-01-29 08:44:39","","","","","","arXiv:2312.12349 [hep-th]","Holographic complexity","","","","","","","","","","INSPIRE","2738762","arXiv.org","","1 citations (INSPIRE 2024/1/29) 1 citations w/o self (INSPIRE 2024/1/29) Citation Key: Aguilar-Gutierrez:2023ccv arXiv: 2312.12349 [hep-th]","","/home/nchagnet/Zotero/storage/YI37SUKL/Aguilar-Gutierrez2023ccv.pdf","","✔️","General Relativity and Quantum Cosmology; High Energy Physics - Theory","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KLQZ7DZN","journalArticle","2023","Aguilar-Gutierrez, Sergio E.; Rolph, Andrew","Krylov complexity is not a measure of distance between states or operators","","","","","http://arxiv.org/abs/2311.04093","We ask whether Krylov complexity is mutually compatible with the circuit and Nielsen definitions of complexity. We show that the Krylov complexities between three states fail to satisfy the triangle inequality and so cannot be a measure of distance: there is no possible metric for which Krylov complexity is the length of the shortest path to the target state or operator. We show this explicitly in the simplest example, a single qubit, and in general.","2023-11-07","2024-01-30 17:46:21","2024-01-31 11:53:11","2024-01-30 17:46:21","","","","","","arXiv:2311.04093 [hep-th]","","","","","","","","","","","INSPIRE","2719837","arXiv.org","","6 citations (INSPIRE 2024/1/30) 5 citations w/o self (INSPIRE 2024/1/30) arXiv:2311.04093 [hep-th] Citation Key: Aguilar-Gutierrez:2023nyk","","/home/nchagnet/Zotero/storage/EUR7LX9Y/Aguilar-Gutierrez2023nyk.pdf","","✔️","High Energy Physics - Theory; Quantum Physics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z4I3C4G2","journalArticle","2024","Megias, Eugenio; Vazquez-Mozo, Miguel A.","Anomalous Strangeness Transport","","","","","http://arxiv.org/abs/2310.15868","Nondissipative transport of strangeness is studied in a chiral hadronic plasma with three flavors. In the phase in which chiral symmetry is preserved, strangeness transport is found to be driven by both an external magnetic field and fluid vorticity. As for the constitutive relations of the baryon and electromagnetic currents, they exhibit vortical terms proportional to the strangeness chemical potential. In the superfluid phase, transverse nondissipative diffusion of the baryon, electromagnetic, and strangeness charges is found, which survives in the limit of vanishing chiral imbalance and mixes in a fashion similar to standard dissipative diffusion in quark-gluon plasma.","2024-01-26","2024-01-31 09:07:33","2024-01-31 09:07:35","2024-01-31 09:07:33","","","","","","arXiv:2310.15868 [hep-th]","","","","","","","","","","","INSPIRE","2713626","arXiv.org","","0 citations (INSPIRE 2024/1/31) 0 citations w/o self (INSPIRE 2024/1/31) arXiv:2310.15868 [hep-th] Citation Key: Megias:2023efl","","/home/nchagnet/Zotero/storage/B85LGW7I/Megias2023efl.pdf","","","High Energy Physics - Theory; High Energy Physics - Phenomenology; Nuclear Theory","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WG4GKNMK","journalArticle","2023","Balasubramanian, Vijay; Magan, Javier M.; Wu, Qingyue","Quantum chaos, integrability, and late times in the Krylov basis","","","","","https://arxiv.org/abs/2312.03848","Quantum chaotic systems are conjectured to display a spectrum whose fine-grained features (gaps and correlations) are well described by Random Matrix Theory (RMT). We propose and develop a complementary version of this conjecture: quantum chaotic systems display a Lanczos spectrum whose local means and covariances are well described by RMT. To support this proposal, we first demonstrate its validity in examples of chaotic and integrable systems. We then show that for Haar-random initial states in RMTs the mean and covariance of the Lanczos spectrum suffices to produce the full long time behavior of general survival probabilities including the spectral form factor, as well as the spread complexity. In addition, for initial states with continuous overlap with energy eigenstates, we analytically find the long time averages of the probabilities of Krylov basis elements in terms of the mean Lanczos spectrum. This analysis suggests a notion of eigenstate complexity, the statistics of which differentiate integrable systems and classes of quantum chaos. Finally, we clarify the relation between spread complexity and the universality classes of RMT by exploring various values of the Dyson index and Poisson distributed spectra.","2023-12","2023-12-08 09:29:12","2024-02-18 13:40:23","","","","","","","arXiv:2312.03848 [hep-th]","","","","","","","","","","","INSPIRE","2732666","INSPIRE","","3 citations (INSPIRE 2024/2/18) 3 citations w/o self (INSPIRE 2024/2/18) Citation Key: Balasubramanian:2023kwd arXiv: 2312.03848 [hep-th]","","/home/nchagnet/Zotero/storage/H8T9VQ8Z/Balasubramanian2023kwd.pdf","","✔️","chaos; Condensed Matter - Statistical Mechanics; covariance; energy eigenstate; High Energy Physics - Theory; initial state; integrability; Lanczos; matrix model: random; Nonlinear Sciences - Chaotic Dynamics; Quantum Physics; spectral; statistics; universality","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9QKXDCQL","journalArticle","2023","Craps, Ben; De Clerck, Marine; Evnin, Oleg; Hacker, Philip","Integrability and complexity in quantum spin chains","","","","","http://arxiv.org/abs/2305.00037","There is a widespread perception that dynamical evolution of integrable systems should be simpler in a quantifiable sense than the evolution of generic systems, though demonstrating this relation between integrability and reduced complexity in practice has remained elusive. We provide a connection of this sort by constructing a specific matrix in terms of the eigenvectors of a given quantum Hamiltonian. The null eigenvalues of this matrix are in one-to-one correspondence with conserved quantities that have simple locality properties (a hallmark of integrability). The typical magnitude of the eigenvalues, on the other hand, controls an explicit bound on Nielsen's complexity of the quantum evolution operator, defined in terms of the same locality specifications. We demonstrate how this connection works in a few concrete examples of quantum spin chains that possess diverse arrays of highly structured conservation laws mandated by integrability.","2023-05-30","2024-01-29 08:44:59","2024-01-30 18:06:12","2024-01-29 08:44:59","","","","","","arXiv:2305.00037 [quant-ph]","","","","","","","","","","","INSPIRE","2655601","arXiv.org","","5 citations (INSPIRE 2024/1/29) 4 citations w/o self (INSPIRE 2024/1/29) arXiv:2305.00037 [quant-ph] Citation Key: Craps:2023rur","","/home/nchagnet/Zotero/storage/ITB2ET9D/Craps2023rur.pdf","","✔️","Condensed Matter - Statistical Mechanics; High Energy Physics - Theory; Quantum Physics; Mathematical Physics; Nonlinear Sciences - Exactly Solvable and Integrable Systems","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IPCFYWIZ","journalArticle","2022","Craps, Ben; De Clerck, Marine; Evnin, Oleg; Hacker, Philip; Pavlov, Maxim","Bounds on quantum evolution complexity via lattice cryptography","SciPost Physics","","2542-4653","10.21468/SciPostPhys.13.4.090","http://arxiv.org/abs/2202.13924","We address the difference between integrable and chaotic motion in quantum theory as manifested by the complexity of the corresponding evolution operators. Complexity is understood here as the shortest geodesic distance between the time-dependent evolution operator and the origin within the group of unitaries. (An appropriate `complexity metric' must be used that takes into account the relative difficulty of performing `nonlocal' operations that act on many degrees of freedom at once.) While simply formulated and geometrically attractive, this notion of complexity is numerically intractable save for toy models with Hilbert spaces of very low dimensions. To bypass this difficulty, we trade the exact definition in terms of geodesics for an upper bound on complexity, obtained by minimizing the distance over an explicitly prescribed infinite set of curves, rather than over all possible curves. Identifying this upper bound turns out equivalent to the closest vector problem (CVP) previously studied in integer optimization theory, in particular, in relation to lattice-based cryptography. Effective approximate algorithms are hence provided by the existing mathematical considerations, and they can be utilized in our analysis of the upper bounds on quantum evolution complexity. The resulting algorithmically implemented complexity bound systematically assigns lower values to integrable than to chaotic systems, as we demonstrate by explicit numerical work for Hilbert spaces of dimensions up to ~10^4.","2022-10-11","2024-01-29 08:45:07","2024-02-18 13:41:10","2024-01-29 08:45:07","090","","4","13","","SciPost Phys.","","","","","","","","","","","INSPIRE","2039758","arXiv.org","","7 citations (INSPIRE 2024/2/18) 5 citations w/o self (INSPIRE 2024/2/18) arXiv:2202.13924 [quant-ph] Citation Key: Craps:2022ese","","/home/nchagnet/Zotero/storage/VAB89DMX/Craps2022ese.pdf","","✔️","Computer Science - Data Structures and Algorithms; High Energy Physics - Theory; Mathematics - Optimization and Control; Physics - Data Analysis, Statistics and Probability; Quantum Physics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BJ3MVH2X","journalArticle","2022","Balasubramanian, Vijay; Caputa, Pawel; Magan, Javier M.; Wu, Qingyue","Quantum chaos and the complexity of spread of states","Phys. Rev. D","","","10.1103/PhysRevD.106.046007","https://arxiv.org/abs/2202.06957","We propose a measure of quantum state complexity defined by minimizing the spread of the wave-function over all choices of basis. Our measure is controlled by the ""survival amplitude"" for a state to remain unchanged, and can be efficiently computed in theories with discrete spectra. For continuous Hamiltonian evolution, it generalizes Krylov operator complexity to quantum states. We apply our methods to the harmonic and inverted oscillators, particles on group manifolds, the Schwarzian theory, the SYK model, and random matrix models. For time-evolved thermofield double states in chaotic systems our measure shows four regimes: a linear ""ramp"" up to a ""peak"" that is exponential in the entropy, followed by a ""slope"" down to a ""plateau"". These regimes arise in the same physics producing the slope-dip-ramp-plateau structure of the Spectral Form Factor. Specifically, the complexity slope arises from spectral rigidity, distinguishing different random matrix ensembles.","2022-08-15","2024-01-29 09:44:09","2024-02-18 13:41:12","","046007","","4","106","","Phys. Rev. D","","","","","","","","","","","INSPIRE","2032813","INSPIRE","","94 citations (INSPIRE 2024/2/18) 85 citations w/o self (INSPIRE 2024/2/18) arXiv:2202.06957 [hep-th] Citation Key: Balasubramanian:2022tpr","","/home/nchagnet/Zotero/storage/LBSCTNYF/Balasubramanian2022tpr.pdf","","✔️","chaos; field theory: finite temperature; Hamiltonian; matrix model: random; measure: quantum; oscillator; slope; spectral; spectrum: discrete; wave function","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VYRFVZLE","journalArticle","2021","Craps, Ben; Khetrapal, Surbhi; Rabideau, Charles","Chaos in CFT dual to rotating BTZ","JHEP","","","10.1007/JHEP11(2021)105","https://arxiv.org/abs/2107.13874","We compute out-of-time-order correlators (OTOCs) in two-dimensional holographic conformal field theories (CFTs) with different left- and right-moving temperatures. Depending on whether the CFT lives on a spatial line or circle, the dual bulk geometry is a boosted BTZ black brane or a rotating BTZ black hole. In the case when the spatial direction is non-compact, we generalise a computation of Roberts and Stanford and show that to reproduce the correct bulk answer a maximal channel contribution needs to be selected when using the identity block approximation. We use the correspondence between global conformal blocks and geodesic Witten diagrams to extend our results to CFTs on a spatial circle. In arXiv:1908.03574 it was shown that the OTOC for a rotating BTZ black hole exhibits a periodic modulation about an average exponential decay with Lyapunov exponent $2\pi/\beta$. In the extremal limit where the black hole is maximally rotating, it was shown in arXiv:2009.08518 that the OTOC exhibits an average cubic growth, on which is superposed a sawtooth pattern which has small periods of Lyapunov growth due to the non-zero temperature of left-movers in the dual CFT. Our computations explain these results from a dual CFT perspective.","2021-11-15","2024-01-29 10:00:56","2024-01-30 16:38:20","","105","","","11","","JHEP","","","","","","","","","","","INSPIRE","1895198","INSPIRE","","15 citations (INSPIRE 2024/1/29) 14 citations w/o self (INSPIRE 2024/1/29) arXiv:2107.13874 [hep-th] Citation Key: Craps:2021bmz","","/home/nchagnet/Zotero/storage/IE6TEK54/Craps2021bmz.pdf","","✔️","chaos; AdS-CFT Correspondence; black hole: BTZ; black hole: rotation; Black Holes in String Theory; Conformal Field Theory; dimension: 2; duality: holography; field theory: conformal; modulation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MWM4PGXZ","journalArticle","2022","Chapman, Shira; Policastro, Giuseppe","Quantum computational complexity from quantum information to black holes and back","The European Physical Journal C: Particles and Fields","","","10.1140/epjc/s10052-022-10037-1","https://arxiv.org/abs/2110.14672","Quantum computational complexity estimates the difficulty of constructing quantum states from elementary operations, a problem of prime importance for quantum computation. Surprisingly, this quantity can also serve to study a completely different physical problem - that of information processing inside black holes. Quantum computational complexity was suggested as a new entry in the holographic dictionary, which extends the connection between geometry and information and resolves the puzzle of why black hole interiors keep growing for a very long time. In this pedagogical review, we present the geometric approach to complexity advocated by Nielsen and show how it can be used to define complexity for generic quantum systems; in particular, we focus on Gaussian states in QFT, both pure and mixed, and on certain classes of CFT states. We then present the conjectured relation to gravitational quantities within the holographic correspondence and discuss several examples in which different versions of the conjectures have been tested. We highlight the relation between complexity, chaos and scrambling in chaotic systems. We conclude with a discussion of open problems and future directions. This article was written for the special issue of EPJ-C Frontiers in Holographic Duality.","2022-02-10","2023-09-12 13:24:17","2024-02-18 13:41:24","","128","","2","82","","Eur. Phys. J. C","","","","","","","","","","","INSPIRE","1954958","","","79 citations (INSPIRE 2024/2/18) 76 citations w/o self (INSPIRE 2024/2/18) Citation Key: Chapman:2021jbh arXiv: 2110.14672 [hep-th]","","/home/nchagnet/Zotero/storage/D6ZVLHQ5/Chapman2021jbh.pdf; /home/nchagnet/Zotero/storage/NK3YA78Z/Chapman2021jbh.pdf","","✔️","General Relativity and Quantum Cosmology; High Energy Physics - Theory; Quantum Physics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
