Ind,authors,title,year,is_cited_own_paper,is_of_interest
1,Sergio E. Aguilar-Gutierrez; Ben Craps; Juan Hernandez; Mikhail Khramtsov; Maria Knysh; Ashish Shukla,Holographic complexity: braneworld gravity versus the Lloyd bound,2023,False,True
2,Sergio E. Aguilar-Gutierrez; Andrew Rolph,Krylov complexity is not a measure of distance between states or operators,2023,False,True
3,Eugenio Megias; Miguel A. Vazquez-Mozo,Anomalous Strangeness Transport,2024,False,True
4,Vijay Balasubramanian; Javier M. Magan; Qingyue Wu,"Quantum chaos, integrability, and late times in the Krylov basis",2023,False,True
5,Ben Craps; Marine De Clerck; Oleg Evnin; Philip Hacker,Integrability and complexity in quantum spin chains,2023,False,True
6,Ben Craps; Marine De Clerck; Oleg Evnin; Philip Hacker; Maxim Pavlov,Bounds on quantum evolution complexity via lattice cryptography,2022,False,True
7,Vijay Balasubramanian; Pawel Caputa; Javier M. Magan; Qingyue Wu,Quantum chaos and the complexity of spread of states,2022,False,True
8,Ben Craps; Surbhi Khetrapal; Charles Rabideau,Chaos in CFT dual to rotating BTZ,2021,False,True
9,Shira Chapman; Giuseppe Policastro,Quantum computational complexity from quantum information to black holes and back,2022,False,True
10,E. Rabinovici; A. Sánchez-Garrido; R. Shir; J. Sonner,Krylov complexity from integrability to chaos,2022,False,True
11,Ben Craps; Oleg Evnin; Gabriele Pascuzzi,A relation between Krylov and Nielsen complexity,2023,False,True
12,Kiran Adhikari; Sayantan Choudhury; Abhishek Roy,Krylov Complexity in Quantum Field Theory,2023,False,True
13,Pawel Caputa; Javier M. Magan; Dimitrios Patramanis,Geometry of Krylov complexity,2022,False,True
14,Anatoly Dymarsky; Michael Smolkin,Krylov complexity in conformal field theory,2021,False,True
15,Daniel E. Parker; Xiangyu Cao; Alexander Avdoshkin; Thomas Scaffidi; Ehud Altman,A Universal Operator Growth Hypothesis,2019,False,True
16,Johanna Erdmenger; Anna-Lena Weigel; Marius Gerbershagen; Michal P. Heller,From complexity geometry to holographic spacetime,2023,False,True
17,Michele Caraglio; Ferdinando Gliozzi,Entanglement Entropy and Twist Fields,2008,False,True
18,Matthew Headrick,Entanglement Renyi entropies in holographic theories,2010,False,True
19,Ben Craps; Juan Hernandez; Mikhail Khramtsov; Maria Knysh,Delicate windows into evaporating black holes,2023,False,True
20,Ben Craps; Marine De Clerck; Oleg Evnin,Time-periodicities in holographic CFTs,2021,False,True
21,Vijay Balasubramanian; Arjun Kar; Cathy Li; Onkar Parrikar; Harshit Rajgadia,Quantum error correction from complexity in Brownian SYK,2023,False,True
22,Lorenzo Gavassino; Nick Abboud; Enrico Speranza; Jorge Noronha,First-order relativistic hydrodynamics with an information current,2024,False,True
23,David Pérez-García; Leonardo Santilli; Miguel Tierz,Hawking-Page transition on a spin chain,2024,False,True
24,Luca V. Delacretaz; Ruchira Mishra,Nonlinear Response in Diffusive Systems,2024,False,True
25,Rahul Sahay; Mikhail D. Lukin; Jordan Cotler,Emergent Holographic Forces from Tensor Networks and Criticality,2024,False,True
26,Yanyan Bu; Xin Gao; Zhiwei Li,Nearly critical superfluid: effective field theory and holography,2024,False,True
27,Kasper Poulsen,Transport and information in open quantum systems,2024,False,True
28,Duarte Feiteira; José P. S. Lemos; Oleg B. Zaslavskii,"Penrose process in Reissner-Nordstr\""om-AdS black hole spacetimes: Black hole energy factories and black hole bombs",2024,False,True
29,Nilakash Sorokhaibam,A measure of chaos from eigenstate thermalization hypothesis,2024,False,True
30,Iain Davies,The 0th and 2nd Laws of Black Hole Mechanics in Einstein-Maxwell-Scalar Effective Field Theory,2024,False,True
31,Hossein Ghaffarnejad; Elham Ghasemi,"Thermodynamic phase transition of modified Anti-de Sitter Reissner-Nordstr\""{o}m black holes with generalized gauge invariant Einstein-Maxwell gravity",2024,False,True
32,D. C. Moreira; A. S. Lemos; F. A. Brito,Charged Lifshitz black holes from general covariance breaking,2024,False,True
33,Sven Gnutzmann; Uzy Smilansky,How Chaotic is the Dynamics Induced by a Hermitian Matrix?,2024,False,True
34,Nicolas Chagnet; Koenraad Schalm,Hydrodynamics of a relativistic charged fluid in the presence of a periodically modulated chemical potential,2024,True,True
35,Luca Delacrétaz; Andrew Liam Fitzpatrick; Emanuel Katz; Matthew Walters,Thermalization and hydrodynamics of two-dimensional quantum field theories,2022,False,True
36,Luca V. Delacretaz; A. Liam Fitzpatrick; Emanuel Katz; Matthew T. Walters,Thermalization and chaos in a 1+1d QFT,2023,False,True
37,Aavishkar A. Patel; John McGreevy; Daniel P. Arovas; Subir Sachdev,Magnetotransport in a Model of a Disordered Strange Metal,2018,False,True
38,Taewon Yuk; Sang-Jin Sin,Encoding the lattice in the Holography,2024,False,True
39,Luca Ciambelli; Luis Lehner,Fluid-gravity correspondence and causal first-order relativistic viscous hydrodynamics,2023,False,True
40,Kai Lin,Quasinormal Modes by Improved Matrix Method and Weighted Residual Method,2024,False,True
41,Adrián del Río; Evelyn-Andreea Ester,Electrically charged black hole solutions in semiclassical gravity and dynamics of linear perturbations,2024,False,True
42,Jorge Pinochet,General relativity in a nutshell I,2023,False,True
43,Zhiyang Wei; Chengming Tan; Ren Zhang,Generalized Spectral Form Factor in Random Matrix Theory,2024,False,True
44,Adway Kumar Das; Patrick Pinney; David A. Zarate-Herrada; Saúl Pilatowsky-Cameo; Apollonas S. Matsoukas-Roubeas; Delmar G. A. Cabral; Cameron Cianci; Victor S. Batista; Adolfo del Campo; E. Jonathan Torres-Herrera; Lea F. Santos,Proposal for many-body quantum chaos detection,2024,False,True
45,Zsolt Gyongyosi; Timothy J. Hollowood; S. Prem Kumar; Andrea Legramandi; Neil Talwar,The Holographic Map of an Evaporating Black Hole,2023,False,True
46,Kshitij Sharma; Himanshu Sahu; Subroto Mukerjee,Quantum chaos in PT symmetric quantum systems,2024,False,True
47,Zhuo-Fan Gu; Yu-Kun Yan; Shao-Feng Wu,Neural ODEs for holographic transport models without translation symmetry,2024,False,True
48,Salvatore Capozziello; Carmen Ferrara,The Equivalence Principle as a Noether Symmetry,2024,False,True
49,Jonathan J. Heckman; Max Hübner; Chitraang Murdia,On the Holographic Dual of a Topological Symmetry Operator,2024,False,True
50,Tian-Gang Zhou; Yingfei Gu; Pengfei Zhang,Size Winding Mechanism beyond Maximum Chaos,2024,False,True
51,Felix Fritzsch; Tomaž Prosen,Boundary chaos,2022,False,True
52,Lucas Sá; Pedro Ribeiro; Tomaž Prosen,Lindbladian dissipation of strongly-correlated quantum matter,2022,False,True
53,Felix Fritzsch; Roopayan Ghosh; Tomaž Prosen,Boundary chaos: Exact entanglement dynamics,2023,False,True
54,Miha Srdinsek; Tomaz Prosen; Spyros Sotiriadis,Ergodicity Breaking and Deviation from Eigenstate Thermalization in Relativistic Quantum Field Theory,2024,False,True
55,Apollonas S. Matsoukas-Roubeas; Tomaž Prosen; Adolfo del Campo,Quantum Chaos and Coherence: Random Parametric Quantum Channels,2023,False,True
56,Žiga Krajnik; Johannes Schmidt; Enej Ilievski; Tomaž Prosen,Dynamical Criticality of Magnetization Transfer in Integrable Spin Chains,2024,False,True
57,Alexios Christopoulos; Andrea De Luca; D. L. Kovrizhin; Tomaž Prosen,Dual symplectic classical circuits: An exactly solvable model of many-body chaos,2023,False,True
58,Felix Fritzsch; Tomaž Prosen,Boundary Chaos: Spectral Form Factor,2023,False,True
59,Eren Firat; Alexander Monin; Riccardo Rattazzi; Matthew T. Walters,Flux Correlators and Semiclassics,2023,False,True
60,Brian Henning; Hitoshi Murayama; Francesco Riva; Jedidiah O. Thompson; Matthew T. Walters,Towards a nonperturbative construction of the S-matrix,2023,False,True
